shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
13SH,19.557273346893172,-99.02506829297846,389
13SH,19.557641779052386,-99.02470667974775,390
13SH,19.55821355389475,-99.02417917865948,391
13SH,19.559905432274327,-99.02728777608445,392
13SH,19.561236393705414,-99.0303992501255,393
13SH,19.56185308418755,-99.03188267005771,394
13SH,19.56449409061962,-99.03824059473564,395
13SH,19.564891123829945,-99.0391905576266,396
13SH,19.565708113452942,-99.04113883642354,397
14SH,19.31958992949034,-99.08417403603353,398
14SH,19.32134493299923,-99.07965357021054,399
14SH,19.32142272948292,-99.08008853359773,400
14SH,19.321474948888344,-99.08032930666363,401
14SH,19.32153261103283,-99.08064086469983,402
14SH,19.32178183104094,-99.08208675486226,403
14SH,19.322043104314258,-99.08362153500241,404
14SH,19.322817323814228,-99.08357244141918,405
14SH,19.32379201641843,-99.08338853840756,406
14SH,19.331481378739277,-99.08195578515202,407
14SH,19.33478738297118,-99.08121373274264,408
14SH,19.33638668586838,-99.08099324336357,409
14SH,19.336401136859344,-99.08099027092392,410
14SH,19.33640236809712,-99.08099001766928,411
14SH,19.3359309822738,-99.07720205115605,412
14SH,19.33557828567145,-99.07507521611005,413
14SH,19.33555202321005,-99.07467254467896,414
14SH,19.337284257194195,-99.07447871078665,415
14SH,19.34022046965449,-99.07501717977043,416
14SH,19.340309341448886,-99.07504741399556,417
14SH,19.340798747206247,-99.07521327496939,418
14SH,19.341592029730787,-99.0754820990777,419
14SH,19.343902996044008,-99.07621733518663,420
14SH,19.350446179231312,-99.07524834918394,421
14SH,19.352320420428253,-99.07762291026846,422
14SH,19.352647156408178,-99.07835110623601,423
14SH,19.35498708842594,-99.08350734119308,424
14SH,19.355842303369307,-99.0853148645671,425
14SH,19.358599387509123,-99.08968650272493,426
14SH,19.360494329799838,-99.09028019051203,427
14SH,19.360552005806923,-99.09049302095032,428
14SH,19.36081802788688,-99.0914552041427,429
14SH,19.361019979754744,-99.09218421497322,430
14SH,19.36125636050819,-99.0939850729614,431
14SH,19.361856650696346,-99.09613935881225,432
14SH,19.362620714339887,-99.09882635636359,433
14SH,19.363516542840305,-99.10203592661817,434
14SH,19.36383417411423,-99.10314820854276,435
14SH,19.3633584,-99.1048453,436
14SH,19.365645441394232,-99.11801996083976,437
14SH,19.366043870023198,-99.1216444117967,438
14SH,19.36605498324233,-99.12178313300728,439
14SH,19.36855686158378,-99.12233632790634,440
14SH,19.3781383,-99.12587219999999,441
14SH,19.378478810299328,-99.12805677988797,442
15SH,19.342212089421572,-99.14029724312718,443
15SH,19.342150270998424,-99.14030326576325,444
15SH,19.342140884616388,-99.14030534641105,445
15SH,19.342060985619483,-99.14042330524886,446
15SH,19.34192075553367,-99.14238649033307,447
15SH,19.3426239196565,-99.14442228044017,448
15SH,19.340406467704593,-99.14487386467523,449
15SH,19.337267092219516,-99.14697866847409,450
15SH,19.337116639324428,-99.14708977379688,451
15SH,19.33689415221548,-99.14725620212762,452
15SH,19.336078539306992,-99.14780041900136,453
15SH,19.33589381734969,-99.14792367363245,454
15SH,19.33556766466494,-99.15065890647786,455
15SH,19.334600443597342,-99.15394583745707,456
15SH,19.334608581672647,-99.1539856156579,457
15SH,19.33515885339317,-99.1565805113686,458
15SH,19.335379878614184,-99.16065737356871,459
15SH,19.33573202770738,-99.16722218237011,460
15SH,19.335746147242467,-99.16739426326386,461
15SH,19.335835943227508,-99.1689532196722,462
15SH,19.32622196478136,-99.16862836664802,463
15SH,19.325938835696597,-99.16815739438142,464
15SH,19.32562482926494,-99.16766515470184,465
15SH,19.325212932194564,-99.16688097056931,466
15SH,19.325166291631565,-99.16678355260063,467
15SH,19.322979745571875,-99.16770618650557,468
15SH,19.32266821111555,-99.16783689798,469
15SH,19.322351306654486,-99.16797394352068,470
16SH,19.43413730916378,-99.0880639869441,471
16SH,19.45202291935501,-99.10576294675639,472
16SH,19.457282339232226,-99.11577197316974,473
16SH,19.460036690207055,-99.12247779150697,474
16SH,19.460921215910293,-99.1251371818925,475
16SH,19.465245954378123,-99.13717129384244,476
16SH,19.465727996717828,-99.14149639431182,477
16SH,19.463511853734175,-99.15387029069062,478
16SH,19.462383709156224,-99.16030455242152,479
16SH,19.438385890994248,-99.16860285434444,480
16SH,19.435671672310104,-99.17028096016145,481
16SH,19.43444504240423,-99.17112371455292,482
16SH,19.432157377710034,-99.17263295369207,483
16SH,19.41780179865312,-99.17865675853076,484
16SH,19.413697449808247,-99.18106572221103,485
16SH,19.410459799999998,-99.18292149999999,486
16SH,19.410459799999998,-99.18292149999999,487
16SH,19.407449243648156,-99.1845399519771,488
16SH,19.405664940297054,-99.18552834851045,489
16SH,19.40428632604134,-99.18628187032094,490
17SH,19.30546016371489,-99.18492940521091,491
17SH,19.30575184688234,-99.1843861751714,492
17SH,19.305997909625113,-99.18394111190491,493
17SH,19.3068825674483,-99.1822094506607,494
17SH,19.31164710672834,-99.17103182670625,495
17SH,19.31235409594758,-99.17012229357337,496
17SH,19.31366910525784,-99.16821754056637,497
17SH,19.318799642161668,-99.16370047622355,498
17SH,19.320470851660676,-99.16221399580385,499
17SH,19.329491178003284,-99.15433538940603,500
17SH,19.331455837900624,-99.15297869471235,501
17SH,19.33203908576019,-99.15269293125499,502
17SH,19.33439947747718,-99.1504555541994,503
17SH,19.33779021216847,-99.14732106023851,504
17SH,19.337794652411453,-99.1473224187064,505
18SH,19.421546599999996,-99.1743884,506
18SH,19.44334839505886,-99.18300560941847,507
18SH,19.449049833436636,-99.18217699435607,508
18SH,19.45290135822471,-99.18151066343717,509
18SH,19.455694641176375,-99.18086903198112,510
18SH,19.460388502260646,-99.17783123742538,511
18SH,19.46436557729012,-99.17741734272524,512
18SH,19.466326592636896,-99.1772377524321,513
18SH,19.46771542855299,-99.1765653280673,514
18SH,19.467960001316083,-99.17635560214275,515
18SH,19.469869755598648,-99.1710192495501,516
18SH,19.470029116467487,-99.17047546712571,517
18SH,19.47012478145278,-99.17017125677724,518
18SH,19.471643211168395,-99.16529933832412,519
18SH,19.47308533313124,-99.1520056130829,520
18SH,19.4730924270754,-99.15014757595534,521
18SH,19.47318557318908,-99.14823797488661,522
18SH,19.47312876411029,-99.14723331364513,523
18SH,19.469890590127765,-99.1368944375337,524
18SH,19.468287570001152,-99.12521455229131,525
18SH,19.46809802715374,-99.12462990696254,526
18SH,19.467375199378036,-99.12259408678878,527
18SH,19.466801115962365,-99.12098923442133,528
18SH,19.464269274030862,-99.11370227262667,529
18SH,19.463985671712322,-99.11289767901107,530
18SH,19.462548110298158,-99.10874743957486,531
